CGPA	REGISTER_NO
8.50	MDL16CS001
8.00	MDL16CS002
6.41	MDL16CS004
4.66	MDL16CS005
8.06	MDL16CS006
8.95	MDL16CS007
8.43	MDL16CS013
8.58	MDL16CS015
6.89	MDL16CS017
7.08	MDL16CS019
8.91	MDL16CS020
7.43	MDL16CS022
6.47	MDL16CS024
7.25	MDL16CS025
7.62	MDL16CS026
7.50	MDL16CS027
5.79	MDL16CS031
8.43	MDL16CS032
8.70	MDL16CS034
8.54	MDL16CS038
8.31	MDL16CS039
8.29	MDL16CS040
7.35	MDL16CS041
8.29	MDL16CS048
2.87	MDL16CS049
9.43	MDL16CS050
7.54	MDL16CS054
9.58	MDL16CS056
7.91	MDL16CS058
8.10	MDL16CS060
3.77	MDL16CS061
8.00	MDL16CS063
7.83	MDL16CS067
9.00	MDL16CS071
7.93	MDL16CS072
9.06	MDL16CS073
7.79	MDL16CS077
8.70	MDL16CS078
8.93	MDL16CS079
7.93	MDL16CS082
7.43	MDL16CS083
8.52	MDL16CS086
8.62	MDL16CS088
6.72	MDL16CS090
8.47	MDL16CS091
9.12	MDL16CS093
8.12	MDL16CS094
8.68	MDL16CS095
2.95	MDL16CS098
8.47	MDL16CS099
8.31	MDL16CS101
8.52	MDL16CS103
7.60	MDL16CS104
8.43	MDL16CS105
8.52	MDL16CS107
8.62	MDL16CS111
8.12	MDL16CS115
7.62	MDL16CS116
7.95	MDL16CS120
3.68	MDL16CS121
8.58	MDL16CS123
2.68	TCE16CS006
